,gardid,mondoid,omimid,disease,MeshTerms,QueryTranslation,Eutils pmids Count,Mondo pmids Count,OMIM pmids Count,Eutils Mondo Intersection Count,Eutils - Mondo Count,Mondo - Eutils Count,Eutils OMIM Intersection Count,Eutils - OMIM Count,OMIM - Eutils Count,Eutils pmids,Mondo pmids,OMIM pmids,Eutils Mondo Intersection,Eutils - Mondo,Mondo - Eutils,Eutils OMIM Intersection,Eutils - OMIM,OMIM - Eutils
0,GARD:0000001,MONDO:0011308,OMIM:603358,GRACILE syndrome,"['FINNISH LETHAL NEONATAL METABOLIC SYNDROME', 'GRACILE SYNDROME', 'FELLMAN SYNDROME']","(""Finnish lethal neonatal metabolic syndrome""[Supplementary Concept] OR ""Finnish lethal neonatal metabolic syndrome""[All Fields] OR ""gracile syndrome""[All Fields]) AND 1900/01/01[EDAT] : 2020/10/23[EDAT]",32,16,11,7,25,9,2,30,9,"[31672551, 31435670, 31433973, 30582773, 30530468, 29782205, 30859779, 28427446, 28322498, 27809283, 30226971, 29090881, 26563427, 24655110, 23892085, 22991165, 22970607, 22829922, 22277166, 21680270, 21620786, 21484424, 21274865, 20580947, 20518024, 18386115, 17314340, 15506716, 12547234, 12215968, 12027811, 11977179]","[20518024, 21274865, 19285991, 26489029, 25895478, 23892085, 24236502, 28105683, 22277166, 24655110, 25914718, 12215968, 18771761, 12910490, 17314340, 11528392]","[8230163, 11528392, 9482441, 10654962, 11421280, 10837493, 7577396, 4584134, 11977179, 9792866, 12215968]","{12215968, 17314340, 24655110, 20518024, 22277166, 21274865, 23892085}","{27809283, 30859779, 21484424, 21680270, 31435670, 30226971, 15506716, 12547234, 12027811, 30530468, 21620786, 28427446, 29782205, 22991165, 29090881, 28322498, 18386115, 20580947, 11977179, 22829922, 26563427, 31672551, 22970607, 30582773, 31433973}","{26489029, 19285991, 11528392, 18771761, 28105683, 25895478, 24236502, 12910490, 25914718}","{12215968, 11977179}","{27809283, 30859779, 24655110, 21484424, 20518024, 21680270, 31435670, 30226971, 15506716, 12547234, 12027811, 30530468, 17314340, 22277166, 21620786, 28427446, 29782205, 22991165, 29090881, 28322498, 18386115, 20580947, 22829922, 26563427, 31672551, 22970607, 21274865, 30582773, 31433973, 23892085}","{11421280, 9792866, 4584134, 11528392, 9482441, 10654962, 8230163, 7577396, 10837493}"
1,GARD:0000003,MONDO:0008693,OMIM:200110,Ablepharon macrostomia syndrome,['ABLEPHARON MACROSTOMIA SYNDROME'],"(""Ablepharon macrostomia syndrome""[Supplementary Concept] OR ""Ablepharon macrostomia syndrome""[All Fields] OR ""ablepharon macrostomia syndrome""[All Fields]) AND 1900/01/01[EDAT] : 2020/10/23[EDAT]",32,52,15,7,25,45,13,19,2,"[33055564, 31462237, 31373987, 30450715, 30076894, 29538102, 28690482, 28680619, 28663233, 28369379, 27196381, 26600791, 26119818, 25069316, 24115501, 22002929, 21595001, 23198177, 19760652, 17163535, 15103726, 11807864, 11746001, 11038439, 10721975, 9674915, 8834257, 8746822, 2036354, 3068987, 3293678, 4003491]","[31308550, 19123269, 17897480, 16845399, 1570894, 1548200, 2345201, 17423028, 5656922, 8507715, 8270703, 1751394, 929156, 2808166, 8354472, 1566027, 25340742, 1569276, 1954864, 2127493, 4445873, 1638959, 1772392, 1472379, 1424809, 8430074, 4488646, 1295846, 9851916, 16480708, 21307099, 17142668, 20691175, 19103192, 9716413, 22275075, 11799068, 17588558, 12756172, 39, 2, 37, 21873635, 8746822, 11807864, 28369379, 15103726, 11038439, 15735646, 21595001, 26522474, 26119818]","[4774831, 15103726, 17163535, 8746822, 11038439, 4003491, 3293678, 22002929, 26119818, 9674915, 913905, 8834257, 2036354, 21595001, 11807864]","{28369379, 8746822, 11038439, 26119818, 15103726, 11807864, 21595001}","{2036354, 25069316, 19760652, 17163535, 30450715, 31373987, 9674915, 4003491, 28680619, 24115501, 28690482, 29538102, 10721975, 3068987, 28663233, 33055564, 11746001, 8834257, 26600791, 27196381, 31462237, 30076894, 23198177, 3293678, 22002929}","{2, 22275075, 929156, 2127493, 31308550, 17897480, 9851916, 17142668, 11799068, 37, 39, 1548200, 8354472, 1424809, 1638959, 1954864, 4445873, 17423028, 9716413, 8507715, 16480708, 19123269, 25340742, 4488646, 1566027, 12756172, 1570894, 17588558, 16845399, 19103192, 5656922, 21307099, 15735646, 1751394, 21873635, 2808166, 1295846, 1772392, 20691175, 26522474, 8270703, 2345201, 8430074, 1472379, 1569276}","{2036354, 4003491, 9674915, 8746822, 11038439, 26119818, 15103726, 17163535, 3293678, 22002929, 8834257, 11807864, 21595001}","{25069316, 19760652, 30450715, 31373987, 28680619, 24115501, 28690482, 29538102, 10721975, 3068987, 28663233, 33055564, 11746001, 26600791, 31462237, 30076894, 27196381, 23198177, 28369379}","{913905, 4774831}"
2,GARD:0000004,MONDO:0005731,,Acanthocheilonemiasis,"['ACANTHOCHEILONEMA PERSTANS INFECTION', 'MANSONELLA PERSTANS', 'ACANTHOCHEILONEMIASIS', 'DIPETALONEMIASIS', 'DIPETALONEMA INFECTIONS']","(""acanthocheilonemiasis""[MeSH Terms] OR ""acanthocheilonemiasis""[All Fields]) AND 1900/01/01[EDAT] : 2020/10/23[EDAT]",17,0,0,0,17,0,0,17,0,"[32166425, 32163524, 32036036, 31796181, 29995959, 28705255, 27010261, 26859724, 25944406, 25068432, 23926787, 23925446, 23760875, 23442771, 21957747, 13327251, 13241654]",[],[],set(),"{23926787, 32036036, 32163524, 23925446, 26859724, 25068432, 23442771, 13327251, 31796181, 27010261, 25944406, 32166425, 28705255, 23760875, 21957747, 13241654, 29995959}",set(),set(),"{23926787, 32036036, 32163524, 23925446, 26859724, 25068432, 23442771, 13327251, 31796181, 27010261, 25944406, 32166425, 28705255, 23760875, 21957747, 13241654, 29995959}",set()
